app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_top_content_rating,detail_page_top_update_date,detail_page_security_ratio,detail_page_android_os,package_name,languages,requires_android,content_rating,architecture,app_permissions_count,additional_app_latest_version,uploaded_by,additional_app_category,security_report_label,security_scan_result,security_scan_date,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
TikTok,Android,TikTok Pte. Ltd.,Social,44.5.1,"Mar 25, 2026",False,September 2017,APK; XAPK,499.0 MB,499.0 MB,3K+,,"Mar 25, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Runcan Vlad,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.5.1,"Mar 25, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.5.1,actual_href_from_versions_page,44.5.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.4.42,"Mar 20, 2026",False,September 2017,APK,354.9 MB,354.9 MB,10K+,,"Mar 20, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.4.42,"Mar 20, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.4.42,actual_href_from_versions_page,44.4.42,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.4.3,"Mar 19, 2026",False,September 2017,APK; XAPK,494.9 MB,494.9 MB,2K+,,"Mar 19, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Yishak Nigatu,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.4.3,"Mar 19, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.4.3,actual_href_from_versions_page,44.4.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.3.3,"Mar 15, 2026",False,September 2017,XAPK,193.1 MB,193.1 MB,10K+,,"Mar 15, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Yishak Nigatu,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.3.3,"Mar 15, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.3.3,actual_href_from_versions_page,44.3.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.2.3,"Mar 5, 2026",False,September 2017,XAPK,193.6 MB,193.6 MB,5K+,,"Mar 5, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Adrian Ulises Geraldo Lopez,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.2.3,"Mar 5, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.2.3,actual_href_from_versions_page,44.2.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.2.2,"Mar 5, 2026",False,September 2017,APK; XAPK,461.5 MB,461.5 MB,5K+,,"Mar 5, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Yoga Pratama Putra,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.2.2,"Mar 5, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.2.2,actual_href_from_versions_page,44.2.2,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.2.1,"Mar 3, 2026",False,September 2017,XAPK,195.6 MB,195.6 MB,2K+,,"Mar 3, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Adrian Ulises Geraldo Lopez,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.2.1,"Mar 3, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.2.1,actual_href_from_versions_page,44.2.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,43.9.16,"Mar 3, 2026",False,September 2017,APK,459.0 MB,459.0 MB,2K+,,"Mar 3, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,43.9.16,"Mar 3, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/43.9.16,actual_href_from_versions_page,43.9.16,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,43.9.3,"Feb 12, 2026",False,September 2017,APK; XAPK,456.9 MB,456.9 MB,40K+,,"Feb 12, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Adrian Ulises Geraldo Lopez,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,43.9.3,"Feb 12, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/43.9.3,actual_href_from_versions_page,43.9.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,43.8.3,"Feb 5, 2026",False,September 2017,XAPK,194.7 MB,194.7 MB,4K+,,"Feb 5, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Runcan Vlad,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,43.8.3,"Feb 5, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/43.8.3,actual_href_from_versions_page,43.8.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
